ID,Simulation,Status,distance_closest_approach_hostRvir,distance_closest_approach_pkpc,final_distance,final_n_dm,final_n_gas,final_n_star,final_phi_z,final_x,final_y,final_z,final_z_away,impact_parameter_hostRvir,impact_parameter_kpc,infall_ID,infall_distance,infall_mass,infall_mass_ratio,infall_n_dm,infall_n_gas,infall_n_star,infall_phi_z,infall_radial_velocity,infall_relative_velocity,infall_tangential_velocity,infall_x,infall_y,infall_z,infall_z_away,max_sSFR,max_stellarmass,time_closest_approch,time_disruption,time_impact,time_infall,time_max_sSFR,time_max_stellarmass,time_quench
3294096555,h329,Survivor,0.07017653263502832,16.646221073259674,44.85518032294138,0.0,0.0,1510.0,1.372439761923633,43.917809758728254,-2.254702775095211,8.839089500379487,43.975648927649345,0.21771505895640922,46.78889234451151,,46.78889234451151,491799.34931036487,1.453299635721338e-05,5.0,0.0,1735.0,1.872222863526615,107.8588342624678,149.3850926297534,103.35558897099617,-40.026861776295846,19.85185304888364,-13.890814003978448,44.67936585419679,,493678.59554416506,13.585293720508625,-1,11.646,11.646,,11.969015378567528,
1484096179,h148,Survivor,0.13934575987272835,40.842501084796446,264.7115518164274,9394.0,0.0,3544.0,0.6367110501659158,154.3057372470903,30.982083471182705,212.8427955592524,157.38535523860983,0.2311784780552173,45.76969782262069,,134.47238513719475,1339022.2398320015,3.6505851356694415e-05,177258.0,24396.0,4602.0,2.3806011221150043,-210.6320977547156,249.15694672234207,133.09133516291712,16.498462614308664,-91.25813042952723,-97.37852292142088,92.73750933752933,,1457049.4753453964,10.999248373778887,-1,7.443,6.905,,7.039366437428594,
1484096194,h148,Survivor,0.15069351288422614,44.168548573470744,191.9266544718951,10442.0,0.0,1341.0,0.6926521626264538,115.47738962727817,41.061826812921936,147.69813661800072,122.5606018928783,0.26411096956626956,52.28981248764959,,134.7083222189074,380952.96237012063,1.0385945658319199e-05,30154.0,273.0,1343.0,2.330366899803164,-244.76612956789967,267.25350156733214,107.30319620752287,8.931220635124191,-97.27212843589587,-92.76151358483912,97.68128619383906,,403033.59734656435,10.999248373778887,-1,7.443,6.905,,3.456616114587799,
14829762,h148,Zombie,0.13033188700578835,30.371377099561176,78.03468458319094,2311882.0,2136190.0,13909277.0,1.494627811312844,-54.27147353015607,55.75624480139231,5.93804046052901,77.80842932155359,0.13033188700578835,30.371377099561176,,189.3281256983647,2887906066.833462,0.06131573494794154,8160068.0,4218920.0,9322271.0,2.40568918611374,-198.5196347171455,211.20867737855846,72.10450770770933,-51.581485185386555,-116.1493509954289,-140.3346636788865,127.08784894941611,,4209477678.998549,8.413203027232914,10.029481368726781,8.413,7.767,,10.029481368726781,
3294096585,h329,Survivor,0.14343581854468584,32.99400515748136,134.7622486269895,1219.0,0.0,207.0,1.0204971408648853,-59.10692915848995,-98.49268156003745,70.4728760557482,114.86704225074173,0.14343581854468584,32.99400515748136,,148.09384000186787,3126.027505409149,9.847780975397308e-08,2114.0,0.0,279.0,1.931843596015687,21.46352711624444,66.04074499882628,62.455560230697145,94.8147986126678,-101.02031737519428,-52.3147673984422,138.54584280499265,,61263.96937730943,12.938782383732175,-1,12.939,10.999,,13.262038052120381,
329067210,h329,Zombie,0.5819711503106325,27.03656413143319,27.03656413143319,196466.0,182418.0,22862.0,1.3381086152561565,-9.589274057628245,24.498023140494297,6.23445950252335,26.307932544092022,0.5819711503106325,27.03656413143319,,38.647676017789244,7020167.259759456,0.009210776686080113,227337.0,257413.0,21832.0,1.4280897865353457,-115.04350888553392,128.4856291575054,57.214927801265986,-1.9106249023134296,38.20706785789662,5.496575275637042,38.25481044019507,,7323096.602171534,2.2713453310455365,2.2713453310455365,-2.271,2.153,,2.2713453310455365,
1484096204,h148,Survivor,0.32108895798757575,48.020719101702575,196.55595365039574,9978.0,0.0,962.0,0.608229789098534,-79.63521629672323,-79.20178775913519,161.3057719257049,112.31514082646643,0.32108895798757575,48.020719101702575,,116.18320924313866,279225.62963904184,2.001491319258907e-05,42910.0,0.0,963.0,1.4848971210505642,-166.52222627766358,225.29214411514664,151.7461642201562,-111.5076112395418,-31.068218067544876,9.967776672539912,115.7548337575641,,287146.52036412543,5.180646345294405,-1,5.181,4.75,,3.456616114587799,
1484096210,h148,Survivor,0.17825564630904062,28.853549806969998,325.81052404937225,10447.0,0.0,16.0,0.9334490802642114,212.23130277669043,-153.3670404330369,193.87862855881394,261.84647213487534,0.17825564630904062,28.853549806969998,,75.37221965534603,4589.433753085251,2.108751837182074e-07,57131.0,0.0,16.0,1.349402773084384,-278.7610575984228,302.10452313727444,116.44490399587613,7.712719944016499,73.12695723848447,16.550938700864208,73.53256369727606,,4842.7490973810245,5.8675646402035175,-1,5.868,5.612,,3.456616114587799,
32933603,h329,Zombie,0.1420293208427495,27.81669559854019,28.06917813554363,106857.0,154944.0,362954.0,1.33405103505395,23.37885175311021,-14.070097299045301,6.583343672205956,27.286229994238983,0.2430401197487949,40.41777300589202,,112.23993419321012,109112844.97628425,0.005952888892175386,1657436.0,566009.0,367803.0,1.5918995056243077,-151.82107402298007,170.65323055834602,77.9287275817385,-34.54302705831469,106.76597109690556,-2.3684435985269374,112.21494242130504,,129979729.50024466,10.029481368519466,11.322504041791113,8.09,7.443,,10.029481368519466,
3290192110,h329,Zombie,1.9637854749107604,11.73091878697051,11.73091878697051,36055356.0,8655975.0,129857780.0,1.5231600670164198,-11.225141628797246,-3.3613405942314785,0.5586057728955893,11.71761132556397,1.9637854749107604,11.73091878697051,,11.73091878697051,87917.95642161368,0.01816144282472446,5433.0,1685.0,13.0,1.5231600670164198,-48.703843910979124,51.319125089970115,16.173688147574182,-11.225141628797246,-3.3613405942314785,0.5586057728955893,11.71761132556397,,88183.61257871779,0.6550669899346275,0.6550669899346275,-0.655,0.655,,0.2476301581085945,
