,ID,Simulation,Status,infall_mass,time_infall,infall_mass_ratio,infall_ID,time_quench,max_sSFR,time_max_sSFR,time_disruption,infall_relative_velocity,infall_radial_velocity,infall_tangential_velocity,max_stellarmass,time_max_stellarmass,time_closest_approch,distance_closest_approach_hostRvir,distance_closest_approach_pkpc,infall_x,infall_y,infall_z,infall_distance,infall_phi_z,infall_z_away,final_x,final_y,final_z,final_distance,final_phi_z,final_z_away,infall_n_dm,infall_n_star,infall_n_gas,final_n_dm,final_n_star,final_n_gas,impact_parameter_kpc,impact_parameter_hostRvir,time_impact
0,229027535,h229,Zombie,4054034.9423787314,0.767,0.07693851066922008,229022512,-1,0.29159996592096366,3.565013462210532,0.9353597347076276,66.70473896208574,-39.888801982680086,53.46405966989915,6859214.868656842,0.9353597347076276,0.9353597347076276,0.2982394630172197,4.655138810770686,4.724652959348532,8.22120159879023,-0.8176631368987728,9.51730394175131,1.6568156840554404,9.48211481233126,0.4691970962007872,-4.598537672311068,0.5510196990999248,4.655138810770686,1.452150111298907,4.622412209955682,53437,1328,15126,19857,2327,7176,4.655138810770686,0.2982394630172197,-0.935
0,229028818,h229,Zombie,3255446.7817412172,0.935,0.028282738480741376,229027518,-1,0.29159996592096366,3.565013462210532,0.9791311795963158,94.19924681227552,-81.42804685483166,47.36001779357075,3585341.579487919,0.9791311795963158,0.9791311795963158,1.337046286254203,22.50622331710826,15.54076509168226,15.709342693673534,-6.328072546321891,22.98572012475652,1.8497027708796132,22.09748464197053,13.149697949105303,17.177797390492287,-6.207963326086883,22.50622331710826,1.8502527371151134,21.633106095554282,45271.0,1073.0,26335.0,45631.0,1215.0,26369.0,22.50622331710826,1.337046286254203,-0.979
0,229028831,h229,Zombie,59668.677046128156,0.935,0.0005183907775278782,2290275130,-1,0.29159996592096366,3.565013462210532,0.9791311795963158,80.89886525780199,21.453937358153354,78.00227542727477,6651549.010949161,0.9791311795963158,0.9353597347076276,0.28060078628442114,4.37982149428012,2.1627661109159817,3.7009150234143817,-0.8991702067446568,4.37982149428012,1.7775648864696765,4.286528812577949,0.30637444574995243,5.840934353034299,-4.462492581781589,7.356916436926582,2.2225368080439254,5.848963961033165,4451.0,54.0,2049.0,27169.0,2310.0,10352.0,4.37982149428012,0.28060078628442114,0.935
0,229028858,h229,Zombie,1181892.0444591504,0.979,0.007295686149830157,229028858,-1,0.29159996592096366,3.565013462210532,0.9791311795963158,132.0134470423373,-121.76877708028367,50.989362894354514,1181892.0444591504,0.9791311795963158,0.9791311795963158,1.1805383126062308,19.8717569997921,0.9765382383156975,-5.609407670692235,19.03858305945778,19.8717569997921,0.2905988636801929,5.69377566706958,0.9765382383156975,-5.609407670692235,19.03858305945778,19.8717569997921,0.2905988636801929,5.69377566706958,12668.0,408.0,5761.0,12668.0,408.0,5761.0,19.8717569997921,1.1805383126062308,-0.979
0,22902887,h229,Zombie,5708232.460232177,0.979,0.03523627449339871,22902887,-1,0.29159996592096366,3.565013462210532,0.9791311795963158,127.83811403489963,-122.21542217419886,37.49631958982565,5708232.460232177,0.9791311795963158,0.9791311795963158,1.08977893600798,18.344023204154897,-2.5552616189711443,-5.737517373810533,17.235275447709228,18.344023204154897,0.34945897293864914,6.280801505872064,-2.5552616189711443,-5.737517373810533,17.235275447709228,18.344023204154897,0.34945897293864914,6.280801505872064,122061.0,1901.0,37502.0,122061.0,1901.0,37502.0,18.344023204154897,1.08977893600798,-0.979
0,22902888,h229,Zombie,6854403.239280721,0.935,0.059549827490785766,22902757,-1,0.29159996592096366,3.565013462210532,0.9791311795963158,79.1069232115622,-71.97642143300459,32.822249430813194,8162420.965879272,0.9791311795963158,0.9791311795963158,1.0931286834891,18.400408809979524,-12.71712025402121,-9.24176969268592,-15.781266748227154,22.275184281764865,2.358122132908027,15.72054244000138,-10.230765720102227,-6.4554452182792375,-13.86483696941832,18.400408809979524,2.4241765618022004,12.09716248488971,99103.0,2278.0,33285.0,93047.0,2701.0,33823.0,18.400408809979524,1.0931286834891,-0.979
0,229034713,h229,Zombie,14286608.62026287,1.178,0.02348660403928769,229034713,-1,0.29159996592096366,3.565013462210532,1.177786198707049,131.96665374252694,-127.71078644698959,33.24383740020728,14286608.62026287,1.177786198707049,1.177786198707049,1.1016947459252076,25.790722877275538,-20.903345366235044,-3.3479542725854117,-14.731012905465832,25.790722877275538,2.1787327983300155,21.169757800017997,-20.903345366235044,-3.3479542725854117,-14.731012905465832,25.790722877275538,2.1787327983300155,21.169757800017997,76999.0,5011.0,30669.0,76999.0,5011.0,30669.0,25.790722877275538,1.1016947459252076,-1.178
0,229034741,h229,Zombie,8964133.297139872,1.178,0.014736670885399025,229034741,-1,0.29159996592096366,3.565013462210532,1.177786198707049,62.0750900120169,-39.23032507275792,48.1071553377015,8964133.297139872,1.177786198707049,1.177786198707049,0.3164180285213591,7.4073600851340125,1.9712521767341968,5.222030451750015,-4.869655660059834,7.4073600851340125,2.2881697363539963,5.581705580132632,1.9712521767341968,5.222030451750015,-4.869655660059834,7.4073600851340125,2.2881697363539963,5.581705580132632,17757.0,3160.0,10112.0,17757.0,3160.0,10112.0,7.4073600851340125,0.3164180285213591,-1.178
0,229034785,h229,Zombie,11396920.217477407,1.178,0.0187360737268044,229034785,-1,0.29159996592096366,3.565013462210532,1.177786198707049,29.081812185625573,3.743986507221077,28.839805218373904,11396920.217477407,1.177786198707049,1.177786198707049,0.3929952174408066,9.200035474979545,3.2065165521262315,7.877225561363957,3.508307540284477,9.200035474979545,1.1795549249470099,8.504847496790594,3.2065165521262315,7.877225561363957,3.508307540284477,9.200035474979545,1.1795549249470099,8.504847496790594,9737.0,4061.0,113.0,9737.0,4061.0,113.0,9.200035474979545,0.3929952174408066,-1.178
0,229038413,h229,Zombie,7518475.86261315,1.178,0.012360068806930606,22903479,-1,0.29159996592096366,3.565013462210532,1.3023664649288766,165.6776855825793,-140.68268785001123,87.50701022944567,11049059.744412264,1.3023664649288766,1.3023664649288766,0.39083054233203346,10.459173367746736,14.717043772597208,5.593992092778535,5.923858560058761,16.82189719318818,1.2109273216300362,15.744336281298455,-6.235111803542168,-5.967946908344857,-5.907732054950429,10.459173367746736,2.171032497103737,8.630933292726443,102355.0,2580.0,32674.0,59429.0,3833.0,22430.0,10.459173367746736,0.39083054233203346,-1.302
